psid,dienumber,safe_amount,choice_risk,updated_at
14177,0,10,1,2019-07-03 10:41:43.611444+00:00
14177,0,20,1,2019-07-03 10:41:43.611444+00:00
14177,0,30,1,2019-07-03 10:41:43.611444+00:00
14177,0,40,1,2019-07-03 10:41:43.611444+00:00
14177,0,50,0,2019-07-03 10:41:43.611444+00:00
14177,0,60,0,2019-07-03 10:41:43.611444+00:00
14177,0,70,0,2019-07-03 10:41:43.611444+00:00
14177,4,70,1,2019-07-03 10:42:15.523331+00:00
14177,4,75,1,2019-07-03 10:42:15.523331+00:00
14177,4,80,0,2019-07-03 10:42:15.523331+00:00
14177,4,85,0,2019-07-03 10:42:15.523331+00:00
14177,4,90,0,2019-07-03 10:42:15.523331+00:00
14177,4,95,0,2019-07-03 10:42:15.523331+00:00
14177,4,100,0,2019-07-03 10:42:15.523331+00:00
14177,6,190,0,2019-07-03 10:42:39.194499+00:00
14177,6,195,0,2019-07-03 10:42:39.194499+00:00
14177,6,200,0,2019-07-03 10:42:39.194499+00:00
14177,6,205,0,2019-07-03 10:42:39.194499+00:00
14177,6,210,0,2019-07-03 10:42:39.194499+00:00
14177,6,215,0,2019-07-03 10:42:39.194499+00:00
14177,6,220,0,2019-07-03 10:42:39.194499+00:00
14502,2,10,0,2019-07-03 10:42:43.294625+00:00
14502,2,20,0,2019-07-03 10:42:43.294625+00:00
14502,2,30,0,2019-07-03 10:42:43.294625+00:00
14502,2,40,0,2019-07-03 10:42:43.294625+00:00
14502,2,50,0,2019-07-03 10:42:43.294625+00:00
14502,2,60,0,2019-07-03 10:42:43.294625+00:00
14502,2,70,0,2019-07-03 10:42:43.294625+00:00
14502,1,40,0,2019-07-03 10:43:21.973447+00:00
15308,4,70,0,2019-07-03 10:45:21.483370+00:00
14502,1,80,0,2019-07-03 10:43:21.973447+00:00
14502,1,100,0,2019-07-03 10:43:21.973447+00:00
14502,1,120,0,2019-07-03 10:43:21.973447+00:00
14502,1,140,0,2019-07-03 10:43:21.973447+00:00
14177,5,90,1,2019-07-03 10:43:03.418798+00:00
14177,5,100,1,2019-07-03 10:43:03.418798+00:00
14177,5,110,0,2019-07-03 10:43:03.418798+00:00
14177,5,120,0,2019-07-03 10:43:03.418798+00:00
14177,5,130,0,2019-07-03 10:43:03.418798+00:00
14177,5,140,0,2019-07-03 10:43:03.418798+00:00
14177,5,150,0,2019-07-03 10:43:03.418798+00:00
16439,8,30,1,2019-07-03 10:43:16.747689+00:00
16439,8,70,1,2019-07-03 10:43:16.747689+00:00
16439,8,100,1,2019-07-03 10:43:16.747689+00:00
16439,8,130,0,2019-07-03 10:43:16.747689+00:00
16439,8,170,0,2019-07-03 10:43:16.747689+00:00
16439,8,200,0,2019-07-03 10:43:16.747689+00:00
16439,8,230,0,2019-07-03 10:43:16.747689+00:00
14502,1,20,0,2019-07-03 10:43:21.973447+00:00
15555,0,10,1,2019-07-03 10:43:23.979133+00:00
15555,0,20,1,2019-07-03 10:43:23.979133+00:00
15555,0,30,1,2019-07-03 10:43:23.979133+00:00
15555,0,40,1,2019-07-03 10:43:23.979133+00:00
15555,0,50,0,2019-07-03 10:43:23.979133+00:00
15555,0,60,0,2019-07-03 10:43:23.979133+00:00
15555,0,70,0,2019-07-03 10:43:23.979133+00:00
15555,2,10,1,2019-07-03 10:43:42.130936+00:00
15555,2,20,1,2019-07-03 10:43:42.130936+00:00
15555,2,30,1,2019-07-03 10:43:42.130936+00:00
16439,5,90,1,2019-07-03 10:43:42.579282+00:00
16439,5,100,1,2019-07-03 10:43:42.579282+00:00
16439,5,110,1,2019-07-03 10:43:42.579282+00:00
16439,5,120,0,2019-07-03 10:43:42.579282+00:00
16439,5,130,0,2019-07-03 10:43:42.579282+00:00
16439,5,140,0,2019-07-03 10:43:42.579282+00:00
16439,5,150,0,2019-07-03 10:43:42.579282+00:00
16439,9,30,1,2019-07-03 10:44:00.650197+00:00
16439,9,70,1,2019-07-03 10:44:00.650197+00:00
16439,9,100,1,2019-07-03 10:44:00.650197+00:00
15308,7,70,0,2019-07-03 10:46:10.524965+00:00
16439,9,170,0,2019-07-03 10:44:00.650197+00:00
16439,9,200,0,2019-07-03 10:44:00.650197+00:00
16439,9,230,0,2019-07-03 10:44:00.650197+00:00
14502,3,130,1,2019-07-03 10:44:03.902025+00:00
14502,3,140,1,2019-07-03 10:44:03.902025+00:00
14502,3,150,1,2019-07-03 10:44:03.902025+00:00
14502,3,160,1,2019-07-03 10:44:03.902025+00:00
14502,3,170,1,2019-07-03 10:44:03.902025+00:00
14502,3,180,0,2019-07-03 10:44:03.902025+00:00
14502,3,190,0,2019-07-03 10:44:03.902025+00:00
16439,7,70,1,2019-07-03 10:44:21.043967+00:00
16439,7,100,1,2019-07-03 10:44:21.043967+00:00
16439,7,130,0,2019-07-03 10:44:21.043967+00:00
16439,7,170,0,2019-07-03 10:44:21.043967+00:00
16439,7,200,0,2019-07-03 10:44:21.043967+00:00
16439,7,230,0,2019-07-03 10:44:21.043967+00:00
14502,0,10,1,2019-07-03 10:44:24.145623+00:00
14502,0,20,1,2019-07-03 10:44:24.145623+00:00
14502,0,30,1,2019-07-03 10:44:24.145623+00:00
14502,0,40,1,2019-07-03 10:44:24.145623+00:00
14502,0,50,0,2019-07-03 10:44:24.145623+00:00
14502,0,60,0,2019-07-03 10:44:24.145623+00:00
15308,4,75,0,2019-07-03 10:45:21.483370+00:00
15308,4,80,0,2019-07-03 10:45:21.483370+00:00
15308,4,85,0,2019-07-03 10:45:21.483370+00:00
15308,4,90,0,2019-07-03 10:45:21.483370+00:00
15308,4,95,0,2019-07-03 10:45:21.483370+00:00
15308,4,100,0,2019-07-03 10:45:21.483370+00:00
14502,1,60,0,2019-07-03 10:43:21.973447+00:00
16439,9,130,1,2019-07-03 10:44:00.650197+00:00
15308,7,100,0,2019-07-03 10:46:10.524965+00:00
15308,7,130,0,2019-07-03 10:46:10.524965+00:00
15308,7,170,1,2019-07-03 10:46:10.524965+00:00
15308,7,200,1,2019-07-03 10:46:10.524965+00:00
15308,7,230,1,2019-07-03 10:46:10.524965+00:00
15308,9,30,1,2019-07-03 10:46:31.124037+00:00
15308,9,70,1,2019-07-03 10:46:31.124037+00:00
15308,9,100,1,2019-07-03 10:46:31.124037+00:00
15308,9,130,1,2019-07-03 10:46:31.124037+00:00
15308,9,170,1,2019-07-03 10:46:31.124037+00:00
15308,9,200,1,2019-07-03 10:46:31.124037+00:00
15308,9,230,1,2019-07-03 10:46:31.124037+00:00
15308,2,20,0,2019-07-03 10:46:57.461670+00:00
15308,2,30,0,2019-07-03 10:46:57.461670+00:00
15308,2,40,0,2019-07-03 10:46:57.461670+00:00
15308,2,50,0,2019-07-03 10:46:57.461670+00:00
15308,2,60,0,2019-07-03 10:46:57.461670+00:00
15308,2,70,0,2019-07-03 10:46:57.461670+00:00
15555,2,40,1,2019-07-03 10:43:42.130936+00:00
15555,2,50,1,2019-07-03 10:43:42.130936+00:00
15555,2,60,0,2019-07-03 10:43:42.130936+00:00
15555,2,70,0,2019-07-03 10:43:42.130936+00:00
15555,1,20,1,2019-07-03 10:43:57.199027+00:00
15555,1,40,1,2019-07-03 10:43:57.199027+00:00
15555,1,60,0,2019-07-03 10:43:57.199027+00:00
15555,1,80,0,2019-07-03 10:43:57.199027+00:00
15555,1,100,0,2019-07-03 10:43:57.199027+00:00
15555,1,120,0,2019-07-03 10:43:57.199027+00:00
15555,1,140,0,2019-07-03 10:43:57.199027+00:00
15555,7,30,1,2019-07-03 10:44:11.258724+00:00
15555,7,70,1,2019-07-03 10:44:11.258724+00:00
15555,7,100,0,2019-07-03 10:44:11.258724+00:00
15555,7,130,0,2019-07-03 10:44:11.258724+00:00
15555,7,170,0,2019-07-03 10:44:11.258724+00:00
15555,7,200,0,2019-07-03 10:44:11.258724+00:00
16439,7,30,1,2019-07-03 10:44:21.043967+00:00
14502,0,70,0,2019-07-03 10:44:24.145623+00:00
15555,7,230,0,2019-07-03 10:44:11.258724+00:00
15308,7,30,0,2019-07-03 10:46:10.524965+00:00
15308,2,10,0,2019-07-03 10:46:57.461670+00:00
19078,5,100,1,2019-07-03 10:48:17.035790+00:00
19078,5,110,1,2019-07-03 10:48:17.035790+00:00
19078,5,120,1,2019-07-03 10:48:17.035790+00:00
19078,5,130,0,2019-07-03 10:48:17.035790+00:00
19078,5,140,0,2019-07-03 10:48:17.035790+00:00
19078,5,150,0,2019-07-03 10:48:17.035790+00:00
19078,9,30,1,2019-07-03 10:48:44.716811+00:00
