psid,treatment,status,created_at
13007,,10,2019-07-03 10:36:10.483487+00:00
13982,week,110,2019-07-03 10:52:46.456458+00:00
13137,now,110,2019-07-03 11:47:23.682885+00:00
19078,week,110,2019-07-03 10:45:39.642505+00:00
19013,never,20,2019-07-03 13:07:06.703416+00:00
15243,now,20,2019-07-03 10:40:29.733551+00:00
14736,never,110,2019-07-03 19:21:15.771107+00:00
15230,month,30,2019-07-03 17:12:55.930468+00:00
13085,week,110,2019-07-03 10:46:28.971285+00:00
13462,week,110,2019-07-03 13:01:49.890037+00:00
14346,month,110,2019-07-03 11:10:26.845663+00:00
15282,now,110,2019-07-03 10:46:45.424867+00:00
14177,month,110,2019-07-03 10:38:08.414430+00:00
17492,month,110,2019-07-03 21:14:12.780178+00:00
15412,never,110,2019-07-03 11:14:34.632304+00:00
15555,now,110,2019-07-03 10:41:41.359499+00:00
14502,week,110,2019-07-03 10:38:24.431391+00:00
18025,now,110,2019-07-03 10:45:37.866973+00:00
18805,week,110,2019-07-03 18:48:12.553005+00:00
15815,month,110,2019-07-03 10:49:38.941753+00:00
16439,month,110,2019-07-03 10:38:59.152518+00:00
14268,week,20,2019-07-03 10:45:14.625583+00:00
13670,,100,2019-07-03 10:54:16.944421+00:00
19390,week,110,2019-07-03 17:53:31.644940+00:00
16881,week,110,2019-07-03 11:30:32.576192+00:00
19117,now,110,2019-07-03 15:08:35.408872+00:00
15048,month,110,2019-07-03 11:26:15.944458+00:00
14229,,100,2019-07-03 10:55:50.072457+00:00
15347,now,110,2019-07-03 10:53:00.845481+00:00
13813,month,110,2019-07-03 14:22:11.751061+00:00
15308,week,110,2019-07-03 10:41:30.194498+00:00
14580,month,30,2019-07-03 10:47:52.651812+00:00
13397,month,30,2019-07-03 10:47:10.987189+00:00
15672,never,110,2019-07-03 10:46:40.682030+00:00
15828,week,110,2019-07-03 13:25:41.751519+00:00
14294,never,110,2019-07-03 11:56:22.206661+00:00
15607,now,110,2019-07-03 11:58:08.620382+00:00
13644,now,110,2019-07-03 10:51:23.227917+00:00
13852,now,110,2019-07-03 11:27:58.094670+00:00
18896,now,110,2019-07-03 11:02:43.496451+00:00
17895,month,110,2019-07-03 11:24:55.869712+00:00
15477,now,110,2019-07-03 10:54:32.564039+00:00
18233,week,110,2019-07-03 17:12:51.350154+00:00
14801,,100,2019-07-03 11:02:21.389151+00:00
14372,week,110,2019-07-03 15:11:25.937175+00:00
15061,never,20,2019-07-03 11:07:18.672865+00:00
18675,now,110,2019-07-03 13:33:56.501372+00:00
13358,now,110,2019-07-03 12:08:23.046756+00:00
13774,never,110,2019-07-03 11:00:59.147015+00:00
