"10211: Befolkning, etter alder, kjønn, statistikkvariabel og år"

"alder";"kjønn";"Personer 2019"
"0 år";"Menn";28556
"0 år";"Kvinner";26835
"1 år";"Menn";29649
"1 år";"Kvinner";27901
"2 år";"Menn";31187
"2 år";"Kvinner";29160
"3 år";"Menn";31157
"3 år";"Kvinner";29452
"4 år";"Menn";31303
"4 år";"Kvinner";29663
"5 år";"Menn";31242
"5 år";"Kvinner";30034
"6 år";"Menn";32372
"6 år";"Kvinner";30713
"7 år";"Menn";32712
"7 år";"Kvinner";30910
"8 år";"Menn";33540
"8 år";"Kvinner";31964
"9 år";"Menn";34217
"9 år";"Kvinner";32349
"10 år";"Menn";33752
"10 år";"Kvinner";31875
"11 år";"Menn";32858
"11 år";"Kvinner";31203
"12 år";"Menn";32986
"12 år";"Kvinner";31367
"13 år";"Menn";32088
"13 år";"Kvinner";30750
"14 år";"Menn";32377
"14 år";"Kvinner";30786
"15 år";"Menn";32092
"15 år";"Kvinner";30554
"16 år";"Menn";31517
"16 år";"Kvinner";30214
"17 år";"Menn";32501
"17 år";"Kvinner";30672
"18 år";"Menn";34379
"18 år";"Kvinner";31982
"19 år";"Menn";34676
"19 år";"Kvinner";31912
"20 år";"Menn";34048
"20 år";"Kvinner";31815
"21 år";"Menn";34896
"21 år";"Kvinner";32531
"22 år";"Menn";35746
"22 år";"Kvinner";33458
"23 år";"Menn";35789
"23 år";"Kvinner";33285
"24 år";"Menn";35857
"24 år";"Kvinner";33806
"25 år";"Menn";36328
"25 år";"Kvinner";34469
"26 år";"Menn";37618
"26 år";"Kvinner";35357
"27 år";"Menn";38224
"27 år";"Kvinner";36612
"28 år";"Menn";38744
"28 år";"Kvinner";37725
"29 år";"Menn";38696
"29 år";"Kvinner";37415
"30 år";"Menn";38400
"30 år";"Kvinner";37281
"31 år";"Menn";37094
"31 år";"Kvinner";36174
"32 år";"Menn";37425
"32 år";"Kvinner";35522
"33 år";"Menn";36912
"33 år";"Kvinner";34968
"34 år";"Menn";36433
"34 år";"Kvinner";34763
"35 år";"Menn";36697
"35 år";"Kvinner";34148
"36 år";"Menn";36765
"36 år";"Kvinner";34599
"37 år";"Menn";35618
"37 år";"Kvinner";34097
"38 år";"Menn";36496
"38 år";"Kvinner";34252
"39 år";"Menn";35890
"39 år";"Kvinner";33835
"40 år";"Menn";35731
"40 år";"Kvinner";33516
"41 år";"Menn";34544
"41 år";"Kvinner";32815
"42 år";"Menn";35594
"42 år";"Kvinner";33435
"43 år";"Menn";36237
"43 år";"Kvinner";34612
"44 år";"Menn";37644
"44 år";"Kvinner";36083
"45 år";"Menn";38042
"45 år";"Kvinner";35791
"46 år";"Menn";39157
"46 år";"Kvinner";37092
"47 år";"Menn";38968
"47 år";"Kvinner";37258
"48 år";"Menn";38611
"48 år";"Kvinner";36742
"49 år";"Menn";39296
"49 år";"Kvinner";37471
"50 år";"Menn";38891
"50 år";"Kvinner";37063
"51 år";"Menn";37784
"51 år";"Kvinner";36134
"52 år";"Menn";37842
"52 år";"Kvinner";35504
"53 år";"Menn";37089
"53 år";"Kvinner";35004
"54 år";"Menn";36341
"54 år";"Kvinner";34392
"55 år";"Menn";34436
"55 år";"Kvinner";33287
"56 år";"Menn";33786
"56 år";"Kvinner";32172
"57 år";"Menn";32967
"57 år";"Kvinner";31709
"58 år";"Menn";32503
"58 år";"Kvinner";31261
"59 år";"Menn";32448
"59 år";"Kvinner";31131
"60 år";"Menn";31775
"60 år";"Kvinner";31079
"61 år";"Menn";30837
"61 år";"Kvinner";30376
"62 år";"Menn";30966
"62 år";"Kvinner";30709
"63 år";"Menn";29972
"63 år";"Kvinner";29818
"64 år";"Menn";29040
"64 år";"Kvinner";29171
"65 år";"Menn";28378
"65 år";"Kvinner";28768
"66 år";"Menn";27952
"66 år";"Kvinner";28049
"67 år";"Menn";26627
"67 år";"Kvinner";26413
"68 år";"Menn";26679
"68 år";"Kvinner";26856
"69 år";"Menn";26489
"69 år";"Kvinner";26793
"70 år";"Menn";26585
"70 år";"Kvinner";26784
"71 år";"Menn";26482
"71 år";"Kvinner";27395
"72 år";"Menn";26920
"72 år";"Kvinner";28009
"73 år";"Menn";23382
"73 år";"Kvinner";24811
"74 år";"Menn";22031
"74 år";"Kvinner";23392
"75 år";"Menn";18987
"75 år";"Kvinner";20493
"76 år";"Menn";16856
"76 år";"Kvinner";18780
"77 år";"Menn";14071
"77 år";"Kvinner";16169
"78 år";"Menn";13975
"78 år";"Kvinner";16341
"79 år";"Menn";12839
"79 år";"Kvinner";15536
"80 år";"Menn";11687
"80 år";"Kvinner";14462
"81 år";"Menn";10445
"81 år";"Kvinner";13307
"82 år";"Menn";9328
"82 år";"Kvinner";12339
"83 år";"Menn";8177
"83 år";"Kvinner";11351
"84 år";"Menn";7463
"84 år";"Kvinner";10651
"85 år";"Menn";6759
"85 år";"Kvinner";9974
"86 år";"Menn";6345
"86 år";"Kvinner";9908
"87 år";"Menn";5434
"87 år";"Kvinner";9172
"88 år";"Menn";4833
"88 år";"Kvinner";8379
"89 år";"Menn";3838
"89 år";"Kvinner";7179
"90 år";"Menn";3245
"90 år";"Kvinner";6388
"91 år";"Menn";2625
"91 år";"Kvinner";5449
"92 år";"Menn";2110
"92 år";"Kvinner";4784
"93 år";"Menn";1682
"93 år";"Kvinner";3848
"94 år";"Menn";1197
"94 år";"Kvinner";3220
"95 år";"Menn";835
"95 år";"Kvinner";2388
"96 år";"Menn";579
"96 år";"Kvinner";1860
"97 år";"Menn";356
"97 år";"Kvinner";1400
"98 år";"Menn";234
"98 år";"Kvinner";1002
"99 år";"Menn";131
"99 år";"Kvinner";556
"100 år";"Menn";75
"100 år";"Kvinner";365
"101 år";"Menn";38
"101 år";"Kvinner";250
"102 år";"Menn";20
"102 år";"Kvinner";110
"103 år";"Menn";18
"103 år";"Kvinner";82
"104 år";"Menn";12
"104 år";"Kvinner";41
"105 år eller eldre";"Menn";16
"105 år eller eldre";"Kvinner";52
